"TOA5","BoiaBarcelona","CR1000X","27337","CR1000X.Std.08.01","CPU:IcatmarBoiaBarcelona.CR1X","15555","Doppler"
"TIMESTAMP","RECORD","DopplerMessage","DoppMonth","DoppDay","DoppYear","Dopphour","Doppminute","Doppsecond","DoppVolts","DoppSoundSpeed","DoppHeading","DoppPitch","DoppRoll","DoppPress","DoppTemp","DoppCell(1)","DoppCell(2)","DoppCell(3)","DoppCell(4)","DoppCell(5)","DoppCell(6)","DoppCell(7)","DoppCell(8)","DoppCell(9)","DoppCell(10)","DoppCell(11)","DoppCell(12)","DoppCell(13)","DoppCell(14)","DoppCell(15)","DoppCell(16)","DoppCell(17)","DoppCell(18)","DoppCell(19)","DoppCell(20)","DoppCell(21)","DoppCell(22)","DoppCell(23)","DoppCell(24)","DoppCell(25)","DoppCell(26)","DoppCell(27)","DoppCell(28)","DoppCell(29)","DoppCell(30)","DoppCell(31)","DoppCell(32)","DoppCell(33)","DoppCell(34)","DoppCell(35)","DoppCell(36)","DoppCell(37)","DoppCell(38)","DoppCell(39)","DoppCell(40)"
"TS","RN","","","","","","","","Volts","m/s","Deg","Deg","Deg","dbar","Celsius","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg","noCell mm/s Deg"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-11-12 15:00:00",0," 11 10 2024 13 9 5 0 44 12.2 1535.9 238.4 -165.7 -160.6 0.255 24.29 0 0    1   3122  835    2   5421  480    3   4001  224    4   2108 3572    5   2638  162    6   2683  115    7   2417 3562    8   2974   85    9   3000  108   10   2038 3377   11   2785  142   12   2646 3572   13   2210 3539   14   2237  135   15   2019   47   16   2193 3503   17   2396   34   18   2406   10   19   2524 3381   20   2732 3461   21   2448 3486   22   1506 3405   23   2134 3389   24   2471 3471   25   2633 3560   26   2775   95   27   2323   58   28   2276 3500   29   2168   54   30   2498   31   31   1607 3543   32   2511 3452   33   2789   37   34   2218   45   35   2244 3539   36   2700  135   37   2423 3571   38   2624 3581   39   2433  180   40   2051 3476  ","11",10,2024,13,9,5,12.2,1536,238.4,-165.7,-160.6,0.255,24.29,"   1   3122  83","   2   5421  48","   3   4001  22","   4   2108 357","   5   2638  16","   6   2683  11","   7   2417 356","   8   2974   8","   9   3000  10","  10   2038 337","  11   2785  14","  12   2646 357","  13   2210 353","  14   2237  13","  15   2019   4","  16   2193 350","  17   2396   3","  18   2406   1","  19   2524 338","  20   2732 346","  21   2448 348","  22   1506 340","  23   2134 338","  24   2471 347","  25   2633 356","  26   2775   9","  27   2323   5","  28   2276 350","  29   2168   5","  30   2498   3","  31   1607 354","  32   2511 345","  33   2789   3","  34   2218   4","  35   2244 353","  36   2700  13","  37   2423 357","  38   2624 358","  39   2433  18","  40   2051 347"
"2024-11-14 13:00:00",1,"","","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-11-15 10:00:00",2,"","","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-11-15 11:00:00",3,"","","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-11-15 12:00:00",4,"","","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-11-15 13:00:00",5,"","","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-11-15 14:00:00",6,"","","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-11-15 15:00:00",7,"","","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
