"TOA5","BoiaBarcelona","CR1000X","27337","CR1000X.Std.08.01","CPU:Test_MeteoGMX550_GPS.CR1X","17460","Meteo"
"TIMESTAMP","RECORD","Latitude","Longitude","HASL","Rel_WindDir","Corr_WindDir","Corr_WindS","WindDir_True","Rel_WS","BP","RH","AirTemp","DP","AD","WBT"
"TS","RN","° (+N, -S)","° (+E, -W)","m","°","°","","°","m/s","hPa","%","°C","°C","kgm-3","°C"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-11-19 13:03:00",0,41.38533,2.195683,58,68,96,1.24,98,1.24,1013.6,65,18.8,12.3,1.2,14.6
"2024-11-19 13:04:00",1,41.38533,2.195686,58,89,117,1.1,119,1.1,1013.6,66,18.8,12.5,1.2,14.8
"2024-11-19 13:05:00",2,41.38534,2.195685,57,81,109,1.63,111,1.63,1013.6,66,18.9,12.5,1.2,14.8
"2024-11-19 13:06:00",3,41.38534,2.195685,57,98,126,1.42,128,1.42,1013.6,67,18.9,12.7,1.2,14.9
"2024-11-19 13:07:00",4,41.38534,2.195681,58,83,111,1.56,113,1.56,1013.5,67,18.9,12.8,1.2,14.9
"2024-11-19 13:08:00",5,41.38534,2.19568,58,99,127,1.64,129,1.64,1013.6,66,18.9,12.5,1.2,14.8
"2024-11-19 13:09:00",6,41.38533,2.195678,58,58,86,0.81,88,0.81,1013.5,65,18.8,12.3,1.2,14.7
"2024-11-19 13:10:00",7,41.38533,2.195675,57,112,140,1.32,142,1.32,1013.5,66,18.9,12.4,1.2,14.8
"2024-11-19 13:11:00",8,41.38533,2.195675,57,77,105,1.38,107,1.38,1013.5,66,18.9,12.6,1.2,14.8
"2024-11-19 13:12:00",9,41.38531,2.195671,57,59,87,1.2,89,1.2,1013.5,66,18.9,12.5,1.2,14.8
"2024-11-19 13:13:00",10,41.3853,2.195661,57,96,124,1.5,126,1.5,1013.5,66,18.9,12.6,1.2,14.8
"2024-11-19 13:14:00",11,41.3853,2.19566,57,65,93,1.09,95,1.09,1013.5,66,18.9,12.6,1.2,14.8
"2024-11-19 13:15:00",12,41.3853,2.195658,57,101,129,0.89,131,0.89,1013.5,65,18.9,12.3,1.2,14.7
"2024-11-19 13:16:00",13,41.3853,2.195656,58,68,96,1.29,98,1.29,1013.4,66,18.9,12.5,1.2,14.8
"2024-11-19 14:00:00",0,41.38524,2.195588,63,66,94,1.43,96,1.43,1013.2,71,18.8,13.4,1.2,15.3
"2024-11-19 15:00:00",1,100,1000,7999,95,123,1000,125,1.09,1012.8,73,18.9,14.1,1.2,15.7
"2024-11-19 16:00:00",2,41.38507,2.19564,-2,186,215,0.46,217,0.46,1012.8,75,17.9,13.4,1.2,14.9
"2024-11-19 17:00:00",3,41.38522,2.19564,14,235,264,0.7,266,0.7,1012.8,75,17.5,13.1,1.2,14.6
"2024-11-19 18:00:00",4,41.3852,2.195585,17,355,24,0.3,25.95,0.3,1013.2,75,17.4,13,1.2,14.5
"2024-11-19 19:00:00",5,41.38529,2.195793,20,298,327,0.24,329,0.24,1013.1,79,16.8,13.2,1.2,14.4
"2024-11-19 20:00:00",6,41.3853,2.19572,50,291,321,0.12,323,0.1,1012.7,75,17.1,12.7,1.2,14.2
"2024-11-19 21:00:00",7,41.3853,2.195641,37,284,313,0.32,315,0.32,1012.6,73,17,12.2,1.2,13.9
"2024-11-19 22:00:00",8,41.38537,2.195235,39,313,342,0.46,344,0.46,1012.5,68,17,11.3,1.2,13.4
"2024-11-19 23:00:00",9,41.38527,2.194409,-9,131,160,0.13,162,0.13,1011.9,69,16.8,11.2,1.2,13.3
"2024-11-20 00:00:00",10,100,1000,7999,312,341,1000,"NAN",0.5,1011.3,67,16.9,10.8,1.2,13.1
"2024-11-20 01:00:00",11,100,1000,7999,263,292,1000,"NAN",0.05,1010.7,69,16.5,10.9,1.2,13
"2024-11-20 02:00:00",12,41.38529,2.195531,44,286,315,0.51,317,0.51,1010,65,16.8,10.2,1.2,12.7
"2024-11-20 03:00:00",13,41.3853,2.195389,-1,265,261,0.19,263,0.06,1009.2,63,17.3,10.3,1.2,13
"2024-11-20 04:00:00",14,100,1000,7999,131,160,1000,"NAN",0.91,1008.6,62,17.4,10.2,1.2,13
"2024-11-20 05:00:00",15,41.38514,2.195491,-43,10,39,0.49,40.95,0.49,1008.3,62,17.2,9.8,1.2,12.7
"2024-11-20 06:00:00",16,41.38562,2.195681,-49,103,129,0.9,131,0.92,1007.7,60,17,9.3,1.2,12.3
"2024-11-20 07:00:00",17,100,1000,7999,119,148,1000,"NAN",0.69,1007.7,59,16.8,8.9,1.2,12.1
"2024-11-20 08:00:00",18,41.38534,2.19568,59,318,347,1.15,349,1.15,1008.1,60,16.7,9.1,1.2,12.2
"2024-11-20 09:00:00",19,41.38537,2.195633,31,171,200,0.59,202,0.59,1008.2,58,17.1,8.8,1.2,12.1
"2024-11-20 10:00:00",20,41.38534,2.195675,25,55,85,0.67,87,0.67,1008.3,56,17.5,8.7,1.2,12.3
"2024-11-20 11:00:00",21,41.38531,2.195691,33,96,130,0.17,132,0.16,1010.1,55,17.9,8.9,1.2,12.6
"2024-11-20 12:00:00",22,41.3853,2.195728,32,295,323,0.35,325,0.35,1009.8,55,18.4,9.2,1.2,13
"2024-11-20 13:00:00",23,41.38524,2.195691,27,69,97,0.45,99,0.45,1009.3,53,19.1,9.5,1.2,13.4
"2024-11-20 14:00:00",24,41.38521,2.195633,30,115,143,0.93,145,0.93,1008.9,51,20.1,9.8,1.2,14
"2024-11-20 15:00:00",25,100,1000,7999,113,141,1000,"NAN",0.3,1008.9,50,20,9.5,1.2,13.8
"2024-11-20 16:00:00",26,41.38507,2.195582,-5,101,129,1.22,131,1.22,1009.6,51,19.4,9.2,1.2,13.4
"2024-11-20 17:00:00",27,41.38525,2.195655,24,248,276,0.6,278,0.6,1010.1,51,18.9,8.7,1.2,13
"2024-11-20 18:00:00",28,41.38525,2.195621,14,64,92,0.15,94,0.15,1010.1,51,18.7,8.6,1.2,12.8
"2024-11-20 19:00:00",29,41.38517,2.195636,7,54,90,0.25,92,0.32,1010.2,52,18.3,8.4,1.2,12.6
"2024-11-20 20:00:00",30,41.38534,2.195666,31,158,187,0.33,189,0.33,1010.6,52,18.1,8.2,1.2,12.4
"2024-11-20 21:00:00",31,41.38536,2.195668,46,100,129,0.11,131,0.11,1011.1,53,17.6,8.1,1.2,12.1
"2024-11-20 22:00:00",32,41.38535,2.195562,45,299,328,0.06,330,0.06,1011.7,63,17.3,10.3,1.2,13
"2024-11-20 23:00:00",33,41.38527,2.19583,45,142,171,1.35,173,1.35,1012.2,78,16.7,13,1.2,14.3
"2024-11-21 00:00:00",34,100,1000,7999,159,188,1000,"NAN",1.16,1012.4,76,16.4,12.3,1.2,13.7
"2024-11-21 01:00:00",35,100,1000,7999,182,211,1000,"NAN",0.96,1012,76,16.4,12.2,1.2,13.6
"2024-11-21 02:00:00",36,41.38527,2.195665,18,211,240,0.38,242,0.36,1011.8,79,16.4,12.7,1.2,14
"2024-11-21 03:00:00",37,41.38533,2.19586,13,298,327,0.4,329,0.4,1011.4,77,16.3,12.3,1.2,13.7
"2024-11-21 04:00:00",38,41.385,2.195536,63,238,267,0.49,269,0.49,1011,74,16.1,11.6,1.2,13.2
"2024-11-21 05:00:00",39,41.38527,2.195708,4,256,312,0.41,314,0.26,1010.5,74,15.2,10.7,1.2,12.3
"2024-11-21 06:00:00",40,41.38579,2.195585,-60,278,345,0.16,347,0.18,1010.2,71,15.1,10.1,1.2,11.9
"2024-11-21 07:00:00",41,100,1000,7999,289,318,1000,"NAN",0.39,1009.8,69,15.4,9.8,1.2,11.9
