"TOA5","BoiaBarcelona","CR1000X","27337","CR1000X.Std.08.01","CPU:IcatmarBoiaBarcelona.CR1X","15555","SBE37_SMPO"
"TIMESTAMP","RECORD","SBE37Sn","SBE37Temp","SBE37Cond","SBE37Pres","SBE37OXY","SBE37Sal","SBE37Date","SBE37Time"
"TS","RN","","Deg C","S/m","dbar","ml/L","PSU","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-11-12 15:00:00",0,"37-26087",23.0054,5.49506,0.079,"NAN",38.0699," 12 Nov 2024"," 15:00:42"
"2024-11-14 13:00:00",1,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-15 10:00:00",2,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-15 11:00:00",3,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-15 12:00:00",4,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-15 13:00:00",5,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-15 14:00:00",6,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-15 15:00:00",7,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-15 16:00:00",8,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-15 17:00:00",9,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-15 18:00:00",10,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-15 19:00:00",11,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-15 20:00:00",12,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-15 21:00:00",13,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-15 22:00:00",14,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-15 23:00:00",15,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-16 14:00:00",16,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-16 15:00:00",17,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-16 16:00:00",18,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-16 17:00:00",19,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-16 18:00:00",20,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-16 19:00:00",21,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-16 20:00:00",22,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-16 21:00:00",23,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-16 22:00:00",24,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-16 23:00:00",25,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-17 00:00:00",26,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-17 01:00:00",27,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-17 02:00:00",28,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-17 03:00:00",29,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-17 04:00:00",30,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-17 05:00:00",31,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-17 06:00:00",32,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-17 07:00:00",33,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-17 08:00:00",34,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-17 09:00:00",35,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-17 10:00:00",36,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-17 11:00:00",37,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-17 12:00:00",38,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
