"TOA5","BoiaBarcelona","CR1000X","27337","CR1000X.Std.08.01","CPU:IcatmarBoiaBarcelona.CR1X","15555","Sami"
"TIMESTAMP","RECORD","SamiData","SamiMessage","SamiNBlank"
"TS","RN","","",""
"","","Smp","Smp","Smp"
"2024-11-12 15:00:00",0,":5:70A :17AE70AE3591E8217D61A2C12B2234A136E1A1B12B0233E13701A3112AD234213731A2512A9233B13651A3012AE234013721A2810E9233B13531A290724233A12C31A2301E2233911951A290109233811041A220182233D10F01A2602B5233811B71A20044F233C12291A26062E233212601A21080E233812A41A2B0A0E233812D41A200B6F232B13061A2C0CAC234013301A200DDE232813381A1F0EDC2334133F1A210FB1233413411A24105E233913501A2B10CF233D13511A2510D8232E12DF1A2A1195233C13581A2A11D9233E135B1A2812052337135C1A1C1239233813603E003EB517D241  ",":5:70A :17AE70AE3591E8217D61A2C12B2234A136E1A1B12B0233E13701A3112AD234213731A2512A9233B13651A3012AE234013721A2810E9233B13531A290724233A12C31A2301E2233911951A290109233811041A220182233D10F01A2602B5233811B71A20044F233C12291A26062E233212601A21080E233812A41A2B0A0E233812D41A200B6F232B13061A2C0CAC234013301A200DDE232813381A1F0EDC2334133F1A210FB1233413411A24105E233913501A2B10CF233D13511A2510D8232E12DF1A2A1195233C13581A2A11D9233E135B1A2812052337135C1A1C1239233813603E003EB517D241  ",1
"2024-11-21 11:00:00",45,":5:70A :17AE70AE364C3A619891A4412E4235A13CD1A4512E7236613CD1A3B12E5235813C71A3B12E8235913C31A4712E8235513CC1A4611EC235213BC1A420A322359138E1A4D0258235612AE1A4900B6235A11DB1A4100E7235111DB1A4901A1235712011A420303234E12781A4704FD235212FC1A4D0754235B135E1A4A0994235613981A4E0B98235613C01A460D33234B13D41A4C0E84235113C71A4D0F98235513C91A4D105A235513C31A4510F8235313BC1A43117B234B13C21A3B11D2234A13B71A4E1218235513C31A3E124A234213BB1A421275234D13BC1A4F1295235813BF3D853E2919A14A  ",":5:70A :17AE70AE364C3A619891A4412E4235A13CD1A4512E7236613CD1A3B12E5235813C71A3B12E8235913C31A4712E8235513CC1A4611EC235213BC1A420A322359138E1A4D0258235612AE1A4900B6235A11DB1A4100E7235111DB1A4901A1235712011A420303234E12781A4704FD235212FC1A4D0754235B135E1A4A0994235613981A4E0B98235613C01A460D33234B13D41A4C0E84235113C71A4D0F98235513C91A4D105A235513C31A4510F8235313BC1A43117B234B13C21A3B11D2234A13B71A4E1218235513C31A3E124A234213BB1A421275234D13BC1A4F1295235813BF3D853E2919A14A  ",3
"2024-11-21 12:00:00",46,":5:70A :17AE70AE364D1B31A6D1A8312F7237613E71A6B12E6236013D21A6712ED235A13DB1A7B12F2236113DC1A7012DD235B13CB1A7E0FFD236913A91A7C08E9235B13B21A7801B1235212B21A8000E8236411C31A760137235611CE1A78021A235B121B1A6C03B0235512A11A7B05D5235513071A7B08192360134C1A800A0F235B13781A7A0BEF235513971A7C0D57235A13A61A730E91235B13C21A7B0F7A236113CB1A7E103F235713CE1A7510D7235613CE1A72114F235813D71A76119E235413C61A7311E8235313C91A7A1226236913D01A79125C236213CD1A701272235513CB3D453DF91A8A79  ",":5:70A :17AE70AE364D1B31A6D1A8312F7237613E71A6B12E6236013D21A6712ED235A13DB1A7B12F2236113DC1A7012DD235B13CB1A7E0FFD236913A91A7C08E9235B13B21A7801B1235212B21A8000E8236411C31A760137235611CE1A78021A235B121B1A6C03B0235512A11A7B05D5235513071A7B08192360134C1A800A0F235B13781A7A0BEF235513971A7C0D57235A13A61A730E91235B13C21A7B0F7A236113CB1A7E103F235713CE1A7510D7235613CE1A72114F235813D71A76119E235413C61A7311E8235313C91A7A1226236913D01A79125C236213CD1A701272235513CB3D453DF91A8A79  ",3
"2024-11-21 13:00:00",47,":5:70A :17AE70AE364DFC31AF01A9D12F7237213EC1A8C12EE236513E71A9A12EC236A13E21A8712F0235F13E61A8912F2235513EB1A810F30235513B01A8D06CD235E13671A960175236C12281A8F00E2236611591A910135236011891A830233236512191A8903A6234C12A81A8B05872359131D1A8F0795236413691A9209AE235C13991A950BAF235E13B81A8C0D4D236113D01A990E86236613D51A8F0F83236413DA1A97104D236213D71A8B10E0235513CC1A97115D236713D81A8911BC235F13D71A9C1200236513D61AA11235237213D41A881261235C13D71A951281236013D73D5B3E121AEEA1  ",":5:70A :17AE70AE364DFC31AF01A9D12F7237213EC1A8C12EE236513E71A9A12EC236A13E21A8712F0235F13E61A8912F2235513EB1A810F30235513B01A8D06CD235E13671A960175236C12281A8F00E2236611591A910135236011891A830233236512191A8903A6234C12A81A8B05872359131D1A8F0795236413691A9209AE235C13991A950BAF235E13B81A8C0D4D236113D01A990E86236613D51A8F0F83236413DA1A97104D236213D71A8B10E0235513CC1A97115D236713D81A8911BC235F13D71A9C1200236513D61AA11235237213D41A881261235C13D71A951281236013D73D5B3E121AEEA1  ",3
"2024-11-21 14:00:00",48,":5:70A :17AE70AE364EDD31B171AB01306237C14011AA012F1236E13EF1A9212F2236013EE1AA712EF236E13EF1AA312ED237413EA1A9D10E0236F13E01A9105912364132F1A9B0178235C11E61A9C00F2236111401AA1015E236811A01A9A0259236812431A9D03E3235D12CB1A8F05F92355133E1A950820236713811AA20A23236313B01A990BE9235F13CD1A8E0D54235C13D51AA00E89236613E41A9F0F96236913EF1A951049235C13E21A9C10ED236513E71AA11168236C13E81A9911BF236413E61A98120B236513ED1A94123F235F13DE1A981267236713E01A96128F235713E23D5B3E121B1A0D  ",":5:70A :17AE70AE364EDD31B171AB01306237C14011AA012F1236E13EF1A9212F2236013EE1AA712EF236E13EF1AA312ED237413EA1A9D10E0236F13E01A9105912364132F1A9B0178235C11E61A9C00F2236111401AA1015E236811A01A9A0259236812431A9D03E3235D12CB1A8F05F92355133E1A950820236713811AA20A23236313B01A990BE9235F13CD1A8E0D54235C13D51AA00E89236613E41A9F0F96236913EF1A951049235C13E21A9C10ED236513E71AA11168236C13E81A9911BF236413E61A98120B236513ED1A94123F235F13DE1A981267236713E01A96128F235713E23D5B3E121B1A0D  ",3
"2024-11-21 15:00:00",49,":5:70A :17AE70AE364FBE31B211AA313062375140A1AA112FF236D13FD1A9912FF236B14021A9F1304236713FB1A9D12F9236813FB1AA310A9236A13DE1A9506D92364134F1A9B01AF235F12171AAB00F6236D11491A910154236611A61A980257235A12571A9703EF235C12F71AA205FE236213581A9A081E235B13921AA30A25235E13C31AA40BE5236513D91A940D5F236313E81A9C0E96236113EC1A9C0F86236413F91A9F1055236613FC1AA810EC236713F71AA51174236613FF1A9F11CC236113FF1A9D1211235E13F91AA2124B235F13F81AA3127B236613FA1A9A129D236413FA3D543E091B2264  ",":5:70A :17AE70AE364FBE31B211AA313062375140A1AA112FF236D13FD1A9912FF236B14021A9F1304236713FB1A9D12F9236813FB1AA310A9236A13DE1A9506D92364134F1A9B01AF235F12171AAB00F6236D11491A910154236611A61A980257235A12571A9703EF235C12F71AA205FE236213581A9A081E235B13921AA30A25235E13C31AA40BE5236513D91A940D5F236313E81A9C0E96236113EC1A9C0F86236413F91A9F1055236613FC1AA810EC236713F71AA51174236613FF1A9F11CC236113FF1A9D1211235E13F91AA2124B235F13F81AA3127B236613FA1A9A129D236413FA3D543E091B2264  ",3
"2024-11-21 16:00:00",50,":5:70A :17AE70AE36509F31B2A1AAD1315237A141B1AAA1311236C14181A99130C235E14141AA71315237014161A99130F236514161A9B0F29236413E91AA50759236F13911A9D0171236512341A9900F5236911851AAE01672371120E1AA9028A236B12AC1AA20443236C132A1AA306672361138A1A9D0897236113BD1A9D0A97236613E21A9D0C3D236213F71AA30D99236B14051AA50EAD2368140C1A9B0F8A236614131AA01048236A14161A9E10D7236214121A9E114C2365140F1AAE11B02374140E1A9D11FD236314121AAD1237236B140B1A98126A2363140D1AB41292237014123D473DFB1B281D  ",":5:70A :17AE70AE36509F31B2A1AAD1315237A141B1AAA1311236C14181A99130C235E14141AA71315237014161A99130F236514161A9B0F29236413E91AA50759236F13911A9D0171236512341A9900F5236911851AAE01672371120E1AA9028A236B12AC1AA20443236C132A1AA306672361138A1A9D0897236113BD1A9D0A97236613E21A9D0C3D236213F71AA30D99236B14051AA50EAD2368140C1A9B0F8A236614131AA01048236A14161A9E10D7236214121A9E114C2365140F1AAE11B02374140E1A9D11FD236314121AAD1237236B140B1A98126A2363140D1AB41292237014123D473DFB1B281D  ",3
"2024-11-21 17:00:00",51,":5:70A :17AE70AE36518041B2E1AA713262376142E1AA3131F236914231AA11323236814291AA41320236814241A9D132C236814311A9F0F19236113FA1A9F076E237113AC1AA001712363123D1AAD00F82378118B1A930146235E11E71AA30271236612A41AA7045F236813401AA706A8236813A21AAD08E9236A13DB1AA20AC9236A13F71AA10C772372140C1AA30DC7236014141A9B0EE3236114231AB00FBE2371142A1AA0106D235F14221AA21103236814241AA7116B236514241AA911CC235C141D1AA212182361141A1AA2125D236614201AA512812364141D1A9F12A6236414223D473DFA1B31AF  ",":5:70A :17AE70AE36518041B2E1AA713262376142E1AA3131F236914231AA11323236814291AA41320236814241A9D132C236814311A9F0F19236113FA1A9F076E237113AC1AA001712363123D1AAD00F82378118B1A930146235E11E71AA30271236612A41AA7045F236813401AA706A8236813A21AAD08E9236A13DB1AA20AC9236A13F71AA10C772372140C1AA30DC7236014141A9B0EE3236114231AB00FBE2371142A1AA0106D235F14221AA21103236814241AA7116B236514241AA911CC235C141D1AA212182361141A1AA2125D236614201AA512812364141D1A9F12A6236414223D473DFA1B31AF  ",3
