"TOA5","BoiaBarcelona","CR1000X","27337","CR1000X.Std.08.01","CPU:IcatmarBoiaBarcelona.CR1X","15555","System"
"TIMESTAMP","RECORD","PTemp","Datalogg_Batt","Batt_Volt","Solar_Voltage","System_Current","CTD_PwrOff","ADP_PwrOff","SAMI_PwrOff","Meteo_PwrOff"
"TS","RN","Celsius","Volt","Volt","Volt","Amp","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-11-12 15:00:00",0,25.13,12.57,12.63,0.009,0.113,0,0,0,0
"2024-11-14 13:00:00",1,23,12.53,12.59,3.579,0.118,0,0,0,0
"2024-11-15 10:00:00",2,20.7,12.54,12.6,12.61,0.105,0,0,0,0
"2024-11-15 11:00:00",3,19.85,12.56,12.63,12.64,0.098,0,0,0,0
"2024-11-15 12:00:00",4,19.39,12.57,12.64,12.65,0.096,0,0,0,0
"2024-11-15 13:00:00",5,19.08,12.54,12.6,12.61,0.103,0,0,0,0
"2024-11-15 14:00:00",6,18.77,12.52,12.59,12.6,0.107,0,0,0,0
"2024-11-15 15:00:00",7,18.48,12.52,12.6,12.6,0.095,0,0,0,0
"2024-11-15 16:00:00",8,18.22,12.52,12.59,12.6,0.097,0,0,0,0
"2024-11-15 17:00:00",9,17.99,12.51,12.58,1.89,0.092,0,0,0,0
"2024-11-15 18:00:00",10,17.77,12.51,12.58,1.745,0.091,0,0,0,0
"2024-11-15 19:00:00",11,17.57,12.51,12.58,1.207,0.085,0,0,0,0
"2024-11-15 20:00:00",12,17.36,12.51,12.58,1.669,0.091,0,0,0,0
"2024-11-15 21:00:00",13,17.19,12.5,12.57,1.382,0.099,0,0,0,0
"2024-11-15 22:00:00",14,17.01,12.5,12.57,1.432,0.118,0,0,0,0
"2024-11-15 23:00:00",15,16.85,12.5,12.57,1.168,0.114,0,0,0,0
"2024-11-16 14:00:00",16,18.27,12.58,12.65,12.64,0.122,0,0,0,0
"2024-11-16 15:00:00",17,18.33,12.58,12.65,12.66,0.092,0,0,0,0
"2024-11-16 16:00:00",18,18.29,12.56,12.64,12.64,0.1,0,0,0,0
"2024-11-16 17:00:00",19,18.2,12.55,12.62,1.25,0.09,0,0,0,0
"2024-11-16 18:00:00",20,18.03,12.54,12.61,1.707,0.082,0,0,0,0
"2024-11-16 19:00:00",21,17.82,12.53,12.6,1.66,0.097,0,0,0,0
"2024-11-16 20:00:00",22,17.64,12.52,12.59,1.543,0.086,0,0,0,0
"2024-11-16 21:00:00",23,17.46,12.51,12.58,1.192,0.092,0,0,0,0
"2024-11-16 22:00:00",24,17.26,12.51,12.58,1.667,0.089,0,0,0,0
"2024-11-16 23:00:00",25,17.02,12.51,12.57,1.307,0.09,0,0,0,0
"2024-11-17 00:00:00",26,16.77,12.5,12.58,1.732,0.086,0,0,0,0
"2024-11-17 01:00:00",27,16.52,12.5,12.57,1.262,0.089,0,0,0,0
"2024-11-17 02:00:00",28,16.29,12.5,12.57,1.724,0.091,0,0,0,0
"2024-11-17 03:00:00",29,16.09,12.49,12.57,1.749,0.088,0,0,0,0
"2024-11-17 04:00:00",30,15.88,12.49,12.57,1.436,0.091,0,0,0,0
"2024-11-17 05:00:00",31,15.66,12.49,12.57,1.615,0.085,0,0,0,0
"2024-11-17 06:00:00",32,15.48,12.49,12.56,1.717,0.086,0,0,0,0
"2024-11-17 07:00:00",33,15.38,12.49,12.56,12.55,0.106,0,0,0,0
"2024-11-17 08:00:00",34,15.38,12.57,12.65,12.66,0.087,0,0,0,0
"2024-11-17 09:00:00",35,15.73,12.7,12.78,12.78,0.089,0,0,0,0
"2024-11-17 10:00:00",36,16.69,12.63,12.7,12.71,0.1,0,0,0,0
"2024-11-17 11:00:00",37,17.03,12.58,12.64,12.64,0.12,0,0,0,0
"2024-11-17 12:00:00",38,17.22,12.55,12.61,12.61,0.116,0,0,0,0
"2024-11-17 13:00:00",39,17.43,12.53,12.6,12.6,0.118,0,0,0,0
"2024-11-17 14:00:00",40,17.71,12.52,12.58,12.59,0.115,0,0,0,0
"2024-11-17 15:00:00",41,17.97,12.5,12.57,12.57,0.12,0,0,0,0
"2024-11-17 16:00:00",42,18.09,12.49,12.55,12.55,0.124,0,0,0,0
"2024-11-17 17:00:00",43,18.05,12.49,12.55,1.725,0.115,0,0,0,0
"2024-11-17 18:00:00",44,17.86,12.48,12.55,1.673,0.118,0,0,0,0
"2024-11-17 19:00:00",45,17.63,12.48,12.55,1.209,0.118,0,0,0,0
"2024-11-17 20:00:00",46,17.4,12.48,12.54,1.146,0.119,0,0,0,0
"2024-11-17 21:00:00",47,17.14,12.48,12.55,1.33,0.122,0,0,0,0
"2024-11-17 22:00:00",48,16.85,12.48,12.55,1.714,0.118,0,0,0,0
"2024-11-17 23:00:00",49,16.53,12.49,12.56,1.321,0.1,0,0,0,0
"2024-11-18 00:00:00",50,16.25,12.48,12.56,1.212,0.093,0,0,0,0
"2024-11-18 01:00:00",51,16.02,12.48,12.56,1.785,0.092,0,0,0,0
"2024-11-18 02:00:00",52,15.74,12.48,12.55,1.201,0.096,0,0,0,0
"2024-11-18 03:00:00",53,15.46,12.48,12.54,1.35,0.107,0,0,0,0
"2024-11-18 04:00:00",54,15.2,12.48,12.55,1.463,0.089,0,0,0,0
"2024-11-18 05:00:00",55,14.98,12.48,12.55,1.189,0.089,0,0,0,0
"2024-11-18 06:00:00",56,14.81,12.48,12.55,1.174,0.092,0,0,0,0
"2024-11-18 07:00:00",57,14.59,12.48,12.55,12.53,0.087,0,0,0,0
"2024-11-18 08:00:00",58,14.46,12.48,12.55,12.56,0.091,0,0,0,0
"2024-11-18 09:00:00",59,14.54,12.6,12.67,12.69,0.1,0,0,0,0
"2024-11-18 10:00:00",60,14.91,12.51,12.57,12.59,0.086,0,0,0,0
"2024-11-18 11:00:00",61,15.29,12.5,12.57,12.58,0.091,0,0,0,0
"2024-11-18 16:00:00",0,17.18,12.46,12.53,12.54,0.112,0,0,0,0
"2024-11-18 17:00:00",1,17.05,12.47,12.54,1.477,0.093,0,0,0,0
"2024-11-18 18:00:00",2,16.99,12.47,12.54,1.258,0.096,0,0,0,0
"2024-11-18 19:00:00",3,16.91,12.47,12.54,1.683,0.1,0,0,0,0
"2024-11-18 20:00:00",4,16.68,12.47,12.54,1.449,0.093,0,0,0,0
"2024-11-18 21:00:00",5,16.43,12.47,12.54,1.169,0.087,0,0,0,0
"2024-11-18 22:00:00",6,16.22,12.47,12.54,1.309,0.093,0,0,0,0
"2024-11-18 23:00:00",7,15.97,12.47,12.54,1.396,0.092,0,0,0,0
"2024-11-19 00:00:00",8,15.75,12.47,12.54,1.722,0.086,0,0,0,0
"2024-11-19 01:00:00",9,15.59,12.47,12.54,1.726,0.099,0,0,0,0
"2024-11-19 02:00:00",10,15.48,12.47,12.54,1.405,0.088,0,0,0,0
"2024-11-19 03:00:00",11,15.38,12.47,12.54,1.724,0.093,0,0,0,0
"2024-11-19 04:00:00",12,15.28,12.46,12.52,1.67,0.107,0,0,0,0
"2024-11-19 05:00:00",13,15.19,12.47,12.54,1.189,0.093,0,0,0,0
"2024-11-19 06:00:00",14,15.15,12.46,12.54,1.573,0.098,0,0,0,0
"2024-11-19 07:00:00",15,15.12,12.46,12.53,12.59,0.09,0,0,0,0
"2024-11-19 08:00:00",16,15.13,12.55,12.62,12.62,0.118,0,0,0,0
"2024-11-19 14:00:00",0,18.43,12.52,12.58,12.57,0.141,0,0,0,0
"2024-11-19 15:00:00",1,18.32,12.49,12.55,12.53,0.167,0,0,0,0
"2024-11-19 16:00:00",2,18.27,12.5,12.57,12.57,0.119,0,0,0,0
"2024-11-19 17:00:00",3,17.99,12.48,12.55,1.719,0.115,0,0,0,0
"2024-11-19 18:00:00",4,17.7,12.49,12.56,1.787,0.1,0,0,0,0
"2024-11-19 19:00:00",5,17.46,12.48,12.55,1.741,0.088,0,0,0,0
"2024-11-19 20:00:00",6,17.25,12.48,12.55,1.323,0.089,0,0,0,0
"2024-11-19 21:00:00",7,17.07,12.47,12.55,1.215,0.093,0,0,0,0
"2024-11-19 22:00:00",8,16.94,12.47,12.54,1.321,0.095,0,0,0,0
"2024-11-19 23:00:00",9,16.85,12.47,12.54,1.571,0.084,0,0,0,0
"2024-11-20 00:00:00",10,16.77,12.46,12.53,1.794,0.101,0,0,0,0
"2024-11-20 01:00:00",11,16.74,12.47,12.54,1.226,0.088,0,0,0,0
"2024-11-20 02:00:00",12,16.64,12.47,12.54,1.643,0.089,0,0,0,0
"2024-11-20 03:00:00",13,16.6,12.47,12.54,1.407,0.09,0,0,0,0
"2024-11-20 04:00:00",14,16.67,12.46,12.54,1.222,0.089,0,0,0,0
"2024-11-20 05:00:00",15,16.78,12.46,12.54,1.3,0.092,0,0,0,0
"2024-11-20 06:00:00",16,16.84,12.46,12.53,1.716,0.091,0,0,0,0
"2024-11-20 07:00:00",17,16.86,12.46,12.53,10.05,0.097,0,0,0,0
"2024-11-20 08:00:00",18,16.86,12.46,12.53,12.63,0.099,0,0,0,0
"2024-11-20 09:00:00",19,16.88,12.47,12.54,12.56,0.092,0,0,0,0
"2024-11-20 10:00:00",20,17.02,12.49,12.55,12.57,0.093,0,0,0,0
"2024-11-20 11:00:00",21,17.31,12.5,12.57,12.59,0.085,0,0,0,0
"2024-11-20 12:00:00",22,17.61,12.5,12.57,12.59,0.092,0,0,0,0
"2024-11-20 13:00:00",23,17.9,12.49,12.56,12.58,0.093,0,0,0,0
"2024-11-20 14:00:00",24,18.25,12.48,12.55,12.57,0.091,0,0,0,0
"2024-11-20 15:00:00",25,18.62,12.47,12.54,12.55,0.092,0,0,0,0
"2024-11-20 16:00:00",26,18.8,12.46,12.53,12.54,0.088,0,0,0,0
"2024-11-20 17:00:00",27,18.75,12.45,12.52,1.363,0.118,0,0,0,0
"2024-11-20 18:00:00",28,18.59,12.45,12.52,1.153,0.122,0,0,0,0
"2024-11-20 19:00:00",29,18.42,12.45,12.52,1.526,0.126,0,0,0,0
"2024-11-20 20:00:00",30,18.25,12.44,12.51,1.079,0.132,0,0,0,0
"2024-11-20 21:00:00",31,18.09,12.45,12.52,1.698,0.124,0,0,0,0
"2024-11-20 22:00:00",32,17.92,12.45,12.52,1.128,0.118,0,0,0,0
"2024-11-20 23:00:00",33,17.7,12.45,12.51,1.158,0.115,0,0,0,0
"2024-11-21 00:00:00",34,17.44,12.45,12.51,1.655,0.114,0,0,0,0
"2024-11-21 01:00:00",35,17.25,12.45,12.51,1.206,0.128,0,0,0,0
"2024-11-21 02:00:00",36,17.07,12.44,12.5,1.663,0.118,0,0,0,0
"2024-11-21 03:00:00",37,16.98,12.45,12.52,1.139,0.092,0,0,0,0
"2024-11-21 04:00:00",38,16.88,12.45,12.52,1.178,0.092,0,0,0,0
"2024-11-21 05:00:00",39,16.72,12.45,12.52,1.634,0.09,0,0,0,0
"2024-11-21 06:00:00",40,16.46,12.45,12.51,1.192,0.092,0,0,0,0
"2024-11-21 07:00:00",41,16.2,12.45,12.52,12.53,0.091,0,0,0,0
"2024-11-21 08:00:00",42,16.08,12.47,12.54,12.55,0.091,0,0,0,0
"2024-11-21 09:00:00",43,16.24,12.46,12.53,12.53,0.09,0,0,0,0
"2024-11-21 10:00:00",44,16.6,12.51,12.58,12.59,0.1,0,0,0,0
"2024-11-21 11:00:00",45,17.15,12.48,12.55,12.56,0.092,0,0,0,0
"2024-11-21 12:00:00",46,17.59,12.44,12.51,12.49,0.121,0,0,0,0
"2024-11-21 13:00:00",47,17.89,12.46,12.53,12.55,0.09,0,0,0,0
"2024-11-21 14:00:00",48,18.12,12.46,12.54,12.55,0.094,0,0,0,0
"2024-11-21 15:00:00",49,18.36,12.46,12.53,12.54,0.097,0,0,0,0
"2024-11-21 16:00:00",50,18.56,12.44,12.52,12.53,0.09,0,0,0,0
"2024-11-21 17:00:00",51,18.64,12.44,12.52,1.828,0.09,0,0,0,0
"2024-11-21 18:00:00",52,18.65,12.44,12.52,1.594,0.099,0,0,0,0
"2024-11-21 19:00:00",53,18.69,12.45,12.52,1.479,0.092,0,0,0,0
"2024-11-21 20:00:00",54,18.71,12.44,12.52,1.771,0.098,0,0,0,0
"2024-11-21 21:00:00",55,18.66,12.45,12.52,1.26,0.091,0,0,0,0
"2024-11-21 22:00:00",56,18.61,12.44,12.51,1.381,0.094,0,0,0,0
